adresa,oras,tara
Main Street,Tirana,Albania
Field Alley,Andorra la Vella,Andorra
Station Street,Vienna,Austria
Church Street,Minsk,Belarus
Mill Street,Brussels,Belgium
School Street,Sarajevo,Bosnia and Herzegovina
Garden Street,Sofia,Bulgaria
Short Street,Zagreb,Croatia
Station Street,Prague,Czechia
Lark Street,Copenhagen,Denmark
Birch Street,Tallinn,Estonia
Angle Street,Helsinki,Finland
Beach Road,Paris,France
Church Street,Berlin,Germany
School Street,Gibraltar,Gibraltar
Rome Street,Athens,Greece
Garibaldi Street,Saint Peter Port,Guernsey
Marconi Street,Budapest,Hungary
Linden Street,Reykjavik,Iceland
Forest Street,Dublin,Ireland
Birch Street,Douglas,Isle of Man
Field Street,Rome,Italy
Forest Street,Saint Helier,Jersey
Sunny Street,Pristina,Kosovo
Central Street,Riga,Latvia
Youth Street,Vaduz,Liechtenstein
School Street,Vilnius,Lithuania
Ring Road,Luxembourg,Luxembourg
Grand Street,Valletta,Malta
Stefan cel Mare Street,Chisinau,Moldova
Station Street,Monaco,Monaco
Main Street,Podgorica,Montenegro
Village Street,Amsterdam,Netherlands
Church Street,Skopje,North Macedonia
Field Street,Oslo,Norway
Meadow Street,Warsaw,Poland
School Street,Lisbon,Portugal
Lujerului Street,Bucuresti,Romania
Tverskaia Street,Moscow,Russia
School Street,San Marino,San Marino
Preseren Street,Belgrade,Serbia
Garden Street,Bratislava,Slovakia
Ring Road,Ljubljana,Slovenia
Grand Street,Madrid,Spain
School Street,Longyearbyen,Svalbard
Lark Street,Stockholm,Sweden
Birch Street,Bern,Switzerland
Angle Street,Kiev,Ukraine
Tea Street,London,United Kingdom
Academiei Street,Bucuresti,Romania
Aviatorilor Street,Bucuresti,Romania
Aviatorilor Street,Bucuresti,Romania
Dristor Street,Bucuresti,Romania
Lujerului Street,Bucuresti,Romania
Gorjului Street,Bucuresti,Romania
Erorilor Street,Bucuresti,Romania
Gorjului Street,Bucuresti,Romania
Erorilor Street,Bucuresti,Romania
Tineretului Street,Cluj,Romania
Universitatii Street,Cluj,Romania
Unirii Street,Cluj,Romania
Unirii Street,Iasi,Romania
Unirii Street,Timisoara,Romania
